RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
68,15641582,Chibugo,735,Germany,Male,43,10,"$123,180",2,1,1,"$196,673",0
69,15638424,Glauert,661,Germany,Female,35,5,"$150,726",2,0,1,"$113,657",0
70,15755648,Pisano,675,France,Female,21,8,"$98,373",1,1,0,"$18,203",0
71,15703793,Konovalova,738,Germany,Male,58,2,"$133,745",4,1,0,"$28,374",1
72,15620344,McKee,813,France,Male,29,6,$0,1,1,0,"$33,954",0
73,15812518,Palermo,657,Spain,Female,37,0,"$163,607",1,0,1,"$44,204",0
74,15779052,Ballard,604,Germany,Female,25,5,"$157,781",2,1,1,"$58,427",0
75,15770811,Wallace,519,France,Male,36,9,$0,2,0,1,"$145,562",0
76,15780961,Cavenagh,735,France,Female,21,1,"$178,718",2,1,0,"$22,388",0
77,15614049,Hu,664,France,Male,55,8,$0,2,1,1,"$139,162",0
78,15662085,Read,678,France,Female,32,9,$0,1,1,1,"$148,211",0
79,15575185,Bushell,757,Spain,Male,33,5,"$77,253",1,0,1,"$194,240",0
80,15803136,Postle,416,Germany,Female,41,10,"$122,190",2,1,0,"$98,302",0
81,15706021,Buley,665,France,Female,34,1,"$96,646",2,0,0,"$171,414",0
82,15663706,Leonard,777,France,Female,32,2,$0,1,1,0,"$136,458",1
83,15641732,Mills,543,France,Female,36,3,$0,2,0,0,"$26,020",0
84,15701164,Onyeorulu,506,France,Female,34,4,"$90,308",1,1,1,"$159,235",0
85,15738751,Beit,493,France,Female,46,4,$0,2,1,0,"$1,908",0
86,15805254,Ndukaku,652,Spain,Female,75,10,$0,2,1,1,"$114,676",0
87,15762418,Gant,750,Spain,Male,22,3,"$121,682",1,1,0,"$128,643",1
88,15625759,Rowley,729,France,Male,30,9,$0,2,1,0,"$151,869",0
89,15622897,Sharpe,646,France,Female,46,4,$0,3,1,0,"$93,251",1
90,15767954,Osborne,635,Germany,Female,28,3,"$81,624",2,1,1,"$156,791",0
91,15757535,Heap,647,Spain,Female,44,5,$0,3,1,1,"$174,205",1
92,15731511,Ritchie,808,France,Male,45,7,"$118,627",2,1,0,"$147,132",0
93,15809248,Cole,524,France,Female,36,10,$0,2,1,0,"$109,615",0
94,15640635,Capon,769,France,Male,29,8,$0,2,1,1,"$172,291",0
95,15676966,Capon,730,Spain,Male,42,4,$0,2,0,1,"$85,982",0
96,15699461,Fiorentini,515,Spain,Male,35,10,"$176,274",1,0,1,"$121,278",0
97,15738721,Graham,773,Spain,Male,41,9,"$102,827",1,0,1,"$64,595",0
98,15693683,Yuille,814,Germany,Male,29,8,"$97,086",2,1,1,"$197,276",0
99,15604348,Allard,710,Spain,Male,22,8,$0,2,0,0,"$99,645",0
100,15633059,Fanucci,413,France,Male,34,9,$0,2,0,0,"$6,534",0
101,15808582,Fu,665,France,Female,40,6,$0,1,1,1,"$161,848",0
102,15743192,Hung,623,France,Female,44,6,$0,2,0,0,"$167,162",0
103,15580146,Hung,738,France,Male,31,9,"$82,674",1,1,0,"$41,971",0
104,15776605,Bradley,528,Spain,Male,36,7,$0,2,1,0,"$60,537",0
105,15804919,Dunbabin,670,Spain,Female,65,1,$0,1,1,1,"$177,656",1
106,15613854,Mauldon,622,Spain,Female,46,4,"$107,073",2,1,1,"$30,985",1
107,15599195,Stiger,582,Germany,Male,32,1,"$88,939",1,1,1,"$10,055",0
108,15812878,Parsons,785,Germany,Female,36,2,"$99,807",1,0,1,"$36,977",0
109,15602312,Walkom,605,Spain,Male,33,5,"$150,093",1,0,0,"$71,863",0
110,15744689,T'ang,479,Germany,Male,35,9,"$92,834",1,1,0,"$99,450",1
111,15803526,Eremenko,685,Germany,Male,30,3,"$90,537",1,0,1,"$63,083",0
112,15665790,Rowntree,538,Germany,Male,39,7,"$108,055",2,1,0,"$27,231",0
113,15715951,Thorpe,562,France,Male,42,2,"$100,238",1,0,0,"$86,797",0
114,15591100,Chiemela,675,Spain,Male,36,9,"$106,191",1,0,1,"$22,994",0
115,15609618,Fanucci,721,Germany,Male,28,9,"$154,476",2,0,1,"$101,301",1
116,15675522,Ko,628,Germany,Female,30,9,"$132,351",2,1,1,"$74,169",0
117,15705512,Welch,668,Germany,Female,37,6,"$167,864",1,1,0,"$115,638",0
118,15698028,Duncan,506,France,Female,41,1,$0,2,1,0,"$31,766",0
119,15661670,Chidozie,524,Germany,Female,31,8,"$107,819",1,1,0,"$199,725",1
120,15600781,Wu,699,Germany,Male,34,4,"$185,174",2,1,0,"$120,834",0
121,15682472,Culbreth,828,France,Male,34,8,"$129,433",2,0,0,"$38,132",0
122,15580203,Kennedy,674,Spain,Male,39,6,"$120,193",1,0,0,"$100,131",0
123,15690673,Cameron,656,France,Female,39,6,$0,2,1,0,"$141,070",0
124,15760085,Calabresi,684,Germany,Female,48,10,"$126,384",1,1,1,"$198,129",0
125,15779659,Zetticci,625,France,Female,28,3,$0,1,0,0,"$183,646",0
126,15627360,Fuller,432,France,Male,42,9,"$152,603",1,1,0,"$110,265",1
127,15671137,MacDonald,549,France,Female,52,1,$0,1,0,1,"$8,636",1
128,15782688,Piccio,625,Germany,Male,56,0,"$148,507",1,1,0,"$46,824",1
129,15575492,Kennedy,828,France,Female,41,7,$0,2,1,0,"$171,379",0
130,15591607,Fernie,770,France,Male,24,9,"$101,827",1,1,0,"$167,256",0
131,15740404,He,758,France,Female,34,3,$0,2,1,1,"$124,226",0
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,"$130,862",1,1,1,"$114,935",0
133,15677871,Cocci,687,France,Male,38,9,"$122,571",1,1,1,"$35,609",0
134,15642004,Alekseeva,686,France,Male,25,1,$0,2,0,1,"$16,459",0
135,15712543,Chinweike,789,Germany,Male,39,7,"$124,828",2,1,1,"$124,411",0
136,15584518,Arthur,589,Germany,Female,50,5,"$144,895",2,1,1,"$34,941",0
137,15802381,Li,461,Germany,Female,34,5,"$63,664",1,0,1,"$167,784",0
138,15610156,Ma,637,France,Male,40,2,"$133,463",1,0,1,"$93,165",0
139,15594408,Chia,584,Spain,Female,48,2,"$213,146",1,1,0,"$75,161",1
140,15640905,Vasin,579,Spain,Female,35,1,"$129,490",2,0,1,"$8,591",1
141,15698932,Groves,756,Germany,Male,44,10,"$137,452",1,1,0,"$189,544",0
142,15724944,Tien,663,France,Male,34,7,$0,2,1,1,"$180,427",0
143,15628145,Forwood,682,France,Female,43,5,"$125,852",1,1,1,"$193,318",0
144,15713483,Greeves,793,Spain,Male,52,2,$0,1,1,0,"$159,124",1
145,15612350,Taylor,691,France,Female,31,5,"$40,916",1,1,0,"$126,214",1
146,15800703,Madukwe,485,Spain,Female,21,5,"$113,157",1,1,1,"$54,142",0
147,15705707,Bennelong,635,Spain,Female,29,8,"$138,297",2,1,0,"$141,076",0
148,15754105,Olisanugo,650,France,Male,37,5,"$106,967",1,0,0,"$24,495",0
149,15703264,Chukwufumnanya,735,France,Male,44,9,"$120,682",1,1,0,"$74,836",0
150,15794413,Harris,416,France,Male,32,0,$0,2,0,1,$879,0
151,15650237,Morgan,754,Spain,Female,32,7,$0,2,1,0,"$89,521",0
152,15759618,Alexeeva,535,France,Female,48,9,$0,1,1,0,"$149,893",1
153,15811589,Metcalfe,716,Spain,Male,42,8,$0,2,1,0,"$180,800",0
154,15689044,Humphries,539,France,Male,37,2,"$127,610",1,1,0,"$98,646",0
155,15709368,Milne,614,France,Female,43,6,$0,2,1,1,"$109,042",0
156,15679145,Chou,706,Spain,Male,57,7,$0,1,1,0,"$17,941",1
157,15655007,Li,758,France,Female,33,7,$0,2,0,0,"$82,996",0
158,15623595,Clayton,586,Spain,Female,28,2,$0,2,1,1,"$92,067",0
159,15589975,Maclean,646,France,Female,73,6,"$97,259",1,0,1,"$104,720",0
160,15804017,Chigolum,631,Germany,Female,33,4,"$123,247",1,0,0,"$112,688",0
161,15692132,Wilkinson,717,Spain,Female,22,6,"$101,060",1,0,1,"$84,700",0
162,15641122,Wei,684,France,Male,30,2,$0,2,1,0,"$83,474",0
163,15630910,Treacy,800,France,Female,49,7,"$108,007",1,0,0,"$47,125",0
164,15680772,Hu,721,Spain,Female,36,2,$0,2,1,1,"$106,978",0
165,15658929,Taverner,683,Spain,Male,29,0,"$133,703",1,1,0,"$55,583",1
166,15585388,Sherman,660,Germany,Male,31,9,"$125,190",2,1,1,"$139,874",0
167,15724623,Taubman,704,Germany,Female,24,7,"$113,034",1,1,0,"$162,503",1
168,15588537,Robinson,615,Spain,Female,41,9,"$109,013",1,1,0,"$196,500",0
169,15574692,Pinto,667,Spain,Female,39,2,$0,2,1,0,"$40,721",1
170,15611325,Wood,682,Germany,Male,24,9,"$57,930",2,0,0,"$53,134",0
171,15587562,Hawkins,484,France,Female,29,4,"$130,114",1,1,0,"$164,018",0
172,15613172,Sun,628,Germany,Male,27,5,"$95,826",2,1,0,"$155,997",0
173,15651022,Yost,480,Germany,Male,44,10,"$129,609",1,1,0,"$5,473",1
174,15586310,Ting,578,France,Male,30,4,"$169,462",1,1,0,"$112,187",0
175,15625524,Rowe,512,France,Male,40,5,$0,2,1,1,"$146,458",0
176,15755209,Fu,484,Spain,Female,35,7,"$133,868",1,1,1,"$27,286",0
177,15645248,Ho,510,France,Female,30,0,$0,2,1,1,"$130,553",0
178,15790355,Okechukwu,606,Germany,Male,36,5,"$190,479",2,0,0,"$179,352",0
179,15762615,Campbell,597,Spain,Female,40,8,"$101,993",1,0,1,"$94,774",0
180,15625426,Ashbolt,754,Germany,Female,55,3,"$161,609",1,1,0,"$8,081",1
181,15716334,Rozier,850,Spain,Female,45,2,"$122,311",1,1,1,"$19,483",0
182,15789669,Hsia,510,France,Male,65,2,$0,2,1,1,"$48,072",0
183,15621075,Ogbonnaya,778,Germany,Female,45,1,"$162,150",2,1,0,"$174,531",0
184,15810845,T'ang,636,France,Male,42,2,$0,2,1,1,"$55,471",0
185,15719377,Cocci,804,France,Female,50,4,$0,1,1,1,"$8,547",1
186,15654506,Chang,514,France,Male,32,8,$0,2,1,0,"$95,857",0
187,15771977,T'ao,730,France,Female,39,1,"$99,011",1,1,0,"$194,946",0
188,15708710,Ford,525,Spain,Female,37,0,$0,1,0,1,"$131,522",0
189,15726676,Marshall,616,Spain,Male,30,5,$0,2,0,1,"$196,109",0
190,15587421,Tsai,687,Germany,Female,34,7,"$111,388",2,1,0,"$148,565",0
191,15726931,Onwumelu,715,France,Female,41,8,"$56,215",2,0,0,"$92,983",1
192,15771086,Graham,512,France,Female,36,3,"$84,328",2,1,0,"$17,675",0
193,15756850,Golovanov,479,France,Male,40,1,$0,2,0,0,"$114,996",0
194,15702741,Potts,601,France,Male,32,8,"$93,013",1,1,0,"$86,957",0
195,15679200,Crawford,580,Spain,Male,29,9,"$61,710",2,1,0,"$128,078",0
196,15594815,Aleshire,807,France,Male,35,3,"$174,790",1,1,1,$600,0
197,15635905,Moran,616,Spain,Female,32,6,$0,2,1,1,"$43,001",0
198,15777892,Samsonova,721,Germany,Male,37,3,"$107,721",1,1,1,"$158,591",0
199,15656176,Jenkins,501,France,Male,57,10,$0,2,1,1,"$47,847",0
200,15811127,Volkov,521,France,Male,35,6,"$96,424",1,1,0,"$10,488",0
201,15604482,Chiemezie,850,Spain,Male,30,2,"$141,040",1,1,1,"$5,978",0
202,15622911,Jude,759,France,Male,42,4,"$105,420",1,0,1,"$121,409",0
203,15600974,He,516,Spain,Male,50,5,$0,1,0,1,"$146,146",1
204,15727868,Onuora,711,France,Female,38,2,"$129,022",2,1,1,"$14,375",1
205,15627801,Ginikanwa,512,Spain,Male,33,3,"$176,667",1,1,0,"$94,671",0
206,15773039,Ku,550,France,Male,37,3,$0,1,1,1,"$179,670",0
207,15755262,McDonald,608,Spain,Female,41,3,"$89,764",1,0,0,"$199,305",1
208,15679531,Collins,618,France,Male,34,5,"$134,955",1,1,1,"$151,954",0
209,15684181,Hackett,643,France,Male,45,5,$0,1,1,0,"$142,514",1
210,15612087,Dike,671,France,Male,45,2,"$106,377",1,0,1,"$158,265",0
211,15752047,Trevisano,689,Germany,Male,33,2,"$161,815",2,1,0,"$169,382",0
212,15624592,Tan,603,France,Male,31,8,$0,2,1,1,"$169,915",0
213,15573152,Glassman,620,France,Female,41,9,$0,2,0,0,"$88,852",0
214,15594917,Miller,676,France,Female,34,1,"$63,095",1,1,1,"$40,646",0
215,15785542,Kornilova,572,Germany,Male,26,4,"$118,287",2,0,0,"$60,427",0
216,15723488,Watson,668,Germany,Male,47,7,"$106,854",1,0,1,"$157,959",1
217,15680920,Marchesi,695,France,Male,46,7,"$49,513",1,1,0,"$133,007",0
218,15786308,Millar,730,Spain,Female,33,9,$0,2,0,0,"$176,577",0
219,15659366,Shih,807,France,Male,43,1,"$105,799",2,1,0,"$34,888",1
220,15774854,Fuller,592,France,Male,54,8,$0,1,1,1,"$28,738",1
221,15725311,Hay,726,France,Female,31,9,"$114,722",2,1,1,"$98,179",0
222,15787155,Yang,514,Spain,Male,30,7,$0,1,0,1,"$125,010",0
223,15727829,McIntyre,567,France,Male,42,2,$0,2,1,1,"$167,985",0
224,15733247,Stevenson,850,France,Male,33,10,$0,1,1,0,"$4,862",1
225,15568748,Poole,671,Germany,Male,45,6,"$99,564",1,1,1,"$108,872",1
226,15699029,Bagley,670,France,Male,37,4,"$170,558",2,1,0,"$198,253",0
227,15774393,Ch'ien,694,France,Female,30,9,$0,2,1,1,"$26,960",0
228,15676895,Cattaneo,547,Germany,Female,39,6,"$74,596",3,1,1,"$85,747",1
229,15637753,O'Sullivan,751,Germany,Male,50,2,"$96,888",1,1,0,"$77,206",1
230,15605461,Lucas,594,Germany,Female,29,3,"$130,830",1,1,0,"$61,049",0
231,15808473,Ringrose,673,France,Male,72,1,$0,2,0,1,"$111,981",0
232,15627000,Freeman,610,France,Male,40,0,$0,2,1,0,"$62,233",0
233,15787174,Sergeyev,512,France,Female,37,1,$0,2,0,1,"$156,105",0
234,15723886,Fiore,767,Germany,Male,20,3,"$119,714",2,0,1,"$150,135",0
235,15704769,Smith,585,France,Female,67,5,"$113,979",2,0,1,"$93,146",0
236,15772896,Dumetochukwu,763,Germany,Male,42,6,"$100,161",1,1,0,"$33,463",1
237,15711540,Pacheco,712,France,Female,29,2,$0,1,1,1,"$144,375",0
238,15764866,Synnot,539,Germany,Female,43,3,"$116,221",3,1,0,"$55,804",1
239,15794056,Johnston,668,France,Female,46,2,$0,3,1,0,"$89,048",1
240,15795149,Stevens,703,France,Male,28,2,"$81,174",2,0,1,"$162,812",0
241,15812009,Grant,662,Spain,Male,38,4,$0,2,1,0,"$136,260",0
242,15651001,Tsao,725,Germany,Female,39,5,"$116,804",1,1,0,"$124,053",0
243,15813844,Barnes,703,France,Male,37,8,"$105,962",2,0,1,"$74,159",0
244,15596175,McIntosh,659,Germany,Male,67,6,"$117,412",1,1,1,"$45,071",1
245,15576269,Madison,523,Spain,Male,34,7,$0,2,1,0,"$62,030",0
246,15797219,Ifesinachi,635,France,Female,40,10,"$123,498",1,1,0,"$131,953",1
247,15685500,Glazkov,772,Germany,Male,26,7,"$152,401",2,1,0,"$79,414",0
248,15599792,Dimauro,545,France,Female,26,1,$0,2,1,1,"$199,639",0
249,15657566,Wieck,634,Germany,Male,24,8,"$103,098",1,1,1,"$157,577",0
250,15772423,Liao,739,Germany,Male,54,8,"$126,418",1,1,0,"$134,421",1
251,15628112,Hughes,771,Germany,Female,36,5,"$77,847",1,0,0,"$99,806",0
252,15753754,Morrison,587,Spain,Female,34,1,$0,2,1,1,"$97,933",0
253,15793726,Matveyeva,681,France,Female,79,0,$0,2,0,1,"$170,969",0
254,15694717,Ku,544,Germany,Male,37,2,"$79,732",1,1,1,"$57,559",0
255,15665834,Cheatham,696,Spain,Male,28,8,$0,1,0,0,"$176,713",0
256,15765297,Yao,766,Spain,Male,41,0,$0,2,0,1,"$34,283",0
257,15636684,Kirkland,727,France,Male,34,10,$0,2,1,1,"$198,637",0
258,15592979,Rose,671,Germany,Female,34,6,"$37,267",2,0,0,"$156,917",0
259,15750803,Jess,693,France,Female,30,6,"$127,992",1,1,1,"$50,457",0
260,15607178,Welch,850,Germany,Male,38,3,"$54,901",1,1,1,"$140,076",0
261,15713853,Ifeajuna,732,Germany,Male,42,9,"$108,748",2,1,1,"$65,323",0
262,15673481,Morton,726,Spain,Female,48,6,"$99,906",1,1,0,"$64,323",0
263,15686776,Rossi,557,France,Female,32,6,"$184,686",2,1,0,"$14,956",0
264,15673693,Reppert,682,France,Female,26,0,"$110,654",1,0,1,"$111,879",0
265,15700696,Kang,738,Spain,Male,31,9,"$79,020",1,1,1,"$18,606",0
266,15813163,Ch'iu,531,Spain,Female,36,9,"$99,241",1,1,0,"$123,137",0
267,15653857,Wallis,498,France,Male,34,2,$0,2,1,1,"$148,528",0
268,15777076,Clark,651,France,Male,36,7,$0,2,1,0,"$13,898",0
269,15717398,Fielding,549,Spain,Female,39,7,$0,1,0,0,"$81,259",1
270,15799217,Zetticci,791,Germany,Female,35,7,"$52,436",1,1,0,"$161,052",0
271,15787071,Dulhunty,650,Spain,Male,41,9,$0,2,0,1,"$191,600",0
272,15619955,Bevington,733,Germany,Male,34,3,"$100,338",3,1,0,"$48,559",1
273,15796505,Boyle,811,Germany,Female,34,1,"$149,297",2,1,1,"$186,340",0
274,15725166,Newton,707,France,Male,30,8,$0,2,1,0,"$33,159",0
275,15800116,Bowman,712,Germany,Male,28,4,"$145,605",1,0,1,"$93,884",0
276,15758685,Dubinina,706,Spain,Female,37,7,$0,2,1,1,"$110,899",0
277,15694456,Toscani,756,France,Male,62,3,$0,1,1,1,"$11,199",1
278,15767339,Chiazagomekpere,777,France,Female,53,10,$0,2,1,0,"$189,993",0
279,15683562,Allen,646,France,Male,35,6,"$84,027",1,0,1,"$164,256",0
280,15782210,K'ung,714,France,Male,46,1,$0,1,1,0,"$152,168",1
281,15668893,Wilsmore,782,France,Male,39,8,$0,2,1,1,"$33,950",0
282,15669169,Hargreaves,775,Spain,Male,29,10,$0,2,1,1,"$68,144",0
283,15643024,Huang,479,Germany,Male,35,4,"$138,719",1,1,1,"$47,252",1
284,15699389,Ch'ien,807,France,Male,42,7,"$118,275",1,1,1,"$25,886",0
285,15708608,Wallwork,799,France,Female,22,8,"$174,186",2,0,1,"$192,634",0
286,15626144,Chu,675,France,Male,40,7,"$113,209",2,1,0,"$34,577",0
287,15573112,Kang,602,Spain,Male,29,5,"$103,907",1,1,0,"$161,230",0
288,15790678,Davidson,475,France,Female,32,8,"$119,023",1,1,0,"$100,816",0
289,15727556,O'Donnell,744,Spain,Female,26,5,"$166,298",1,1,1,"$181,694",0
290,15697307,Nnachetam,588,Spain,Male,34,10,$0,2,1,0,"$79,079",0
291,15652266,Chidiebele,703,Germany,Male,42,9,"$63,227",1,0,1,"$137,316",0
292,15607098,Ahmed,747,Spain,Female,41,5,"$94,521",2,1,0,"$194,927",0
293,15655774,Booth,583,France,Male,27,7,$0,2,1,0,"$51,285",0
294,15590241,Chuang,750,Spain,Female,34,9,"$112,822",1,0,0,"$150,402",1
295,15785819,Shao,681,France,Male,38,3,$0,2,1,1,"$112,492",0
296,15723654,Tsao,773,France,Male,25,2,"$135,903",1,1,0,"$73,656",0
297,15774510,Tien,714,France,Female,31,4,"$125,169",1,1,1,"$106,637",0
298,15684173,Chang,687,Spain,Female,44,7,$0,3,1,0,"$155,854",1
299,15650068,Johnson,511,France,Male,58,0,"$149,117",1,1,1,"$162,600",0
300,15811490,French,627,France,Male,33,5,$0,2,1,1,"$103,738",0
301,15803976,Efremov,694,France,Female,31,10,$0,2,1,0,"$160,990",0
302,15682541,Hartley,616,Spain,Female,36,6,"$132,312",1,0,0,"$15,463",0
303,15695699,Calabrese,687,France,Male,35,8,$0,2,1,0,"$10,334",0
304,15624188,Chiu,712,France,Female,33,6,$0,2,1,1,"$190,686",0
305,15812191,Brennan,553,France,Male,33,4,"$118,083",1,0,0,"$94,440",0
306,15636673,Onwuatuegwu,667,France,Male,31,1,"$119,267",1,1,1,"$28,258",0
307,15594898,Hewitt,731,France,Male,43,2,$0,1,1,1,"$170,035",1
308,15660211,Shih,629,Germany,Male,35,7,"$156,847",2,1,0,"$31,824",0
309,15773972,Balashov,614,France,Male,50,4,"$137,104",1,1,0,"$127,166",1
310,15746726,Doyle,438,Germany,Male,31,8,"$78,399",1,1,0,"$44,937",0
311,15712287,Pokrovskii,652,France,Female,80,4,$0,2,1,1,"$188,603",0
312,15702919,Collins,729,Germany,Male,30,6,"$63,669",1,1,0,"$145,111",0
313,15674398,Russo,642,France,Male,38,3,$0,2,0,0,"$171,464",0
314,15797960,Skinner,806,Germany,Female,59,0,"$135,296",1,1,0,"$182,823",0
315,15631868,Robertson,744,Spain,Male,36,2,"$153,804",1,1,1,"$87,213",0
316,15581539,Atkinson,474,Spain,Male,37,3,$0,2,0,0,"$57,175",0
317,15662736,Doyle,559,France,Male,49,2,"$147,070",1,1,0,"$120,541",1
318,15666252,Ritchie,706,Spain,Male,42,9,$0,2,1,1,"$28,714",0
319,15677512,McEncroe,628,Spain,Female,22,3,$0,1,1,0,"$85,426",0
320,15626114,Pearson,429,France,Male,24,4,"$95,742",1,1,0,"$46,171",0
321,15810834,Gordon,525,Spain,Female,57,2,"$145,965",1,1,1,"$64,448",0
322,15678910,Ts'ai,680,France,Female,30,8,"$141,442",1,1,1,"$16,279",0
323,15694408,Lung,749,France,Male,40,1,"$139,290",1,1,0,"$182,855",1
324,15585215,Yuan,763,France,Female,31,4,$0,2,0,0,"$50,405",0
325,15682757,Pardey,734,France,Male,30,3,$0,2,1,0,"$107,640",0
326,15736601,Tai,716,France,Male,35,4,"$144,429",1,1,0,"$134,133",0
327,15601848,Scott,594,France,Male,35,2,$0,2,1,0,"$103,481",0
328,15736008,Hunter,644,France,Female,46,9,"$95,441",1,1,0,"$108,761",1
